,platform,benchmark,n,time_mili
0,lexa,countdown,0,0.0
1,lexa,countdown,20000000,0.0
2,lexa,countdown,40000000,0.0
3,lexa,countdown,60000000,0.0
4,lexa,countdown,80000000,0.0
5,lexa,countdown,100000000,0.0
6,lexa,countdown,120000000,0.0
7,lexa,countdown,140000000,0.0
8,lexa,countdown,160000000,0.0
9,lexa,countdown,180000000,0.0
10,lexa,countdown,200000000,0.0
11,ocaml,countdown,0,0.0
12,ocaml,countdown,20000000,248.0
13,ocaml,countdown,40000000,493.0
14,ocaml,countdown,60000000,740.0
15,ocaml,countdown,80000000,986.0
16,ocaml,countdown,100000000,1233.0
17,ocaml,countdown,120000000,1480.0
18,ocaml,countdown,140000000,1725.0
19,ocaml,countdown,160000000,1969.0
20,ocaml,countdown,180000000,2211.0
21,ocaml,countdown,200000000,2482.0
22,koka,countdown,0,0.0
23,koka,countdown,20000000,199.0
24,koka,countdown,40000000,401.0
25,koka,countdown,60000000,595.0
26,koka,countdown,80000000,804.0
27,koka,countdown,100000000,1011.0
28,koka,countdown,120000000,1205.0
29,koka,countdown,140000000,1420.0
30,koka,countdown,160000000,1629.0
31,koka,countdown,180000000,1823.0
32,koka,countdown,200000000,2032.0
33,koka_named,countdown,0,0.0
34,koka_named,countdown,20000000,376.0
35,koka_named,countdown,40000000,743.0
36,koka_named,countdown,60000000,1127.0
37,koka_named,countdown,80000000,1502.0
38,koka_named,countdown,100000000,1852.0
39,koka_named,countdown,120000000,2228.0
40,koka_named,countdown,140000000,2606.0
41,koka_named,countdown,160000000,2988.0
42,koka_named,countdown,180000000,3381.0
43,koka_named,countdown,200000000,3728.0
44,effekt,countdown,0,0.0
45,effekt,countdown,20000000,6.0
46,effekt,countdown,40000000,12.0
47,effekt,countdown,60000000,17.0
48,effekt,countdown,80000000,23.0
49,effekt,countdown,100000000,29.0
50,effekt,countdown,120000000,35.0
51,effekt,countdown,140000000,40.0
52,effekt,countdown,160000000,46.0
53,effekt,countdown,180000000,52.0
54,effekt,countdown,200000000,58.0
55,lexa,fibonacci_recursive,0,0.0
56,lexa,fibonacci_recursive,4,0.0
57,lexa,fibonacci_recursive,8,0.0
58,lexa,fibonacci_recursive,12,0.0
59,lexa,fibonacci_recursive,16,0.0
60,lexa,fibonacci_recursive,20,0.0
61,lexa,fibonacci_recursive,24,0.0
62,lexa,fibonacci_recursive,28,1.0
63,lexa,fibonacci_recursive,32,6.0
64,lexa,fibonacci_recursive,36,41.0
65,lexa,fibonacci_recursive,40,285.0
66,ocaml,fibonacci_recursive,0,0.0
67,ocaml,fibonacci_recursive,4,0.0
68,ocaml,fibonacci_recursive,8,0.0
69,ocaml,fibonacci_recursive,12,0.0
70,ocaml,fibonacci_recursive,16,0.0
71,ocaml,fibonacci_recursive,20,0.0
72,ocaml,fibonacci_recursive,24,0.0
73,ocaml,fibonacci_recursive,28,2.0
74,ocaml,fibonacci_recursive,32,12.0
75,ocaml,fibonacci_recursive,36,79.0
76,ocaml,fibonacci_recursive,40,539.0
77,koka,fibonacci_recursive,0,0.0
78,koka,fibonacci_recursive,4,0.0
79,koka,fibonacci_recursive,8,0.0
80,koka,fibonacci_recursive,12,0.0
81,koka,fibonacci_recursive,16,0.0
82,koka,fibonacci_recursive,20,0.0
83,koka,fibonacci_recursive,24,0.0
84,koka,fibonacci_recursive,28,2.0
85,koka,fibonacci_recursive,32,11.0
86,koka,fibonacci_recursive,36,75.0
87,koka,fibonacci_recursive,40,514.0
88,koka_named,fibonacci_recursive,0,0.0
89,koka_named,fibonacci_recursive,4,0.0
90,koka_named,fibonacci_recursive,8,0.0
91,koka_named,fibonacci_recursive,12,0.0
92,koka_named,fibonacci_recursive,16,0.0
93,koka_named,fibonacci_recursive,20,0.0
94,koka_named,fibonacci_recursive,24,0.0
95,koka_named,fibonacci_recursive,28,2.0
96,koka_named,fibonacci_recursive,32,11.0
97,koka_named,fibonacci_recursive,36,75.0
98,koka_named,fibonacci_recursive,40,514.0
99,effekt,fibonacci_recursive,0,0.0
100,effekt,fibonacci_recursive,4,0.0
101,effekt,fibonacci_recursive,8,0.0
102,effekt,fibonacci_recursive,12,0.0
103,effekt,fibonacci_recursive,16,0.0
104,effekt,fibonacci_recursive,20,0.0
105,effekt,fibonacci_recursive,24,0.0
106,effekt,fibonacci_recursive,28,2.0
107,effekt,fibonacci_recursive,32,14.0
108,effekt,fibonacci_recursive,36,92.0
109,effekt,fibonacci_recursive,40,628.0
110,lexa,product_early,0,0.0
111,lexa,product_early,10000,15.0
112,lexa,product_early,20000,29.0
113,lexa,product_early,30000,44.0
114,lexa,product_early,40000,58.0
115,lexa,product_early,50000,73.0
116,lexa,product_early,60000,87.0
117,lexa,product_early,70000,102.0
118,lexa,product_early,80000,117.0
119,lexa,product_early,90000,131.0
120,lexa,product_early,100000,146.0
121,ocaml,product_early,0,0.0
122,ocaml,product_early,10000,15.0
123,ocaml,product_early,20000,30.0
124,ocaml,product_early,30000,45.0
125,ocaml,product_early,40000,60.0
126,ocaml,product_early,50000,75.0
127,ocaml,product_early,60000,90.0
128,ocaml,product_early,70000,105.0
129,ocaml,product_early,80000,120.0
130,ocaml,product_early,90000,135.0
131,ocaml,product_early,100000,150.0
132,koka,product_early,0,0.0
133,koka,product_early,10000,163.0
134,koka,product_early,20000,328.0
135,koka,product_early,30000,492.0
136,koka,product_early,40000,656.0
137,koka,product_early,50000,822.0
138,koka,product_early,60000,981.0
139,koka,product_early,70000,1141.0
140,koka,product_early,80000,1314.0
141,koka,product_early,90000,1472.0
142,koka,product_early,100000,1641.0
143,koka_named,product_early,0,0.0
144,koka_named,product_early,10000,163.0
145,koka_named,product_early,20000,326.0
146,koka_named,product_early,30000,489.0
147,koka_named,product_early,40000,647.0
148,koka_named,product_early,50000,810.0
149,koka_named,product_early,60000,974.0
150,koka_named,product_early,70000,1142.0
151,koka_named,product_early,80000,1305.0
152,koka_named,product_early,90000,1463.0
153,koka_named,product_early,100000,1613.0
154,effekt,product_early,0,0.0
155,effekt,product_early,10000,31.0
156,effekt,product_early,20000,68.0
157,effekt,product_early,30000,111.0
158,effekt,product_early,40000,112.0
159,effekt,product_early,50000,160.0
160,effekt,product_early,60000,168.0
161,effekt,product_early,70000,218.0
162,effekt,product_early,80000,224.0
163,effekt,product_early,90000,254.0
164,effekt,product_early,100000,291.0
165,lexa,iterator,0,0.0
166,lexa,iterator,4000000,0.0
167,lexa,iterator,8000000,0.0
168,lexa,iterator,12000000,0.0
169,lexa,iterator,16000000,0.0
170,lexa,iterator,20000000,0.0
171,lexa,iterator,24000000,0.0
172,lexa,iterator,28000000,0.0
173,lexa,iterator,32000000,0.0
174,lexa,iterator,36000000,0.0
175,lexa,iterator,40000000,0.0
176,ocaml,iterator,0,0.0
177,ocaml,iterator,4000000,27.0
178,ocaml,iterator,8000000,54.0
179,ocaml,iterator,12000000,78.0
180,ocaml,iterator,16000000,104.0
181,ocaml,iterator,20000000,129.0
182,ocaml,iterator,24000000,162.0
183,ocaml,iterator,28000000,187.0
184,ocaml,iterator,32000000,207.0
185,ocaml,iterator,36000000,234.0
186,ocaml,iterator,40000000,259.0
187,koka,iterator,0,0.0
188,koka,iterator,4000000,26.0
189,koka,iterator,8000000,51.0
190,koka,iterator,12000000,81.0
191,koka,iterator,16000000,107.0
192,koka,iterator,20000000,134.0
193,koka,iterator,24000000,162.0
194,koka,iterator,28000000,187.0
195,koka,iterator,32000000,216.0
196,koka,iterator,36000000,242.0
197,koka,iterator,40000000,277.0
