benchmark,lexi,effekt,koka_named,koka,ocaml
countdown,0.0,58.0,3739.0,2022.0,2502.0
fibonacci_recursive,726.0,1653.0,1360.0,1345.0,1412.0
product_early,146.0,274.0,1625.0,1639.0,150.0
iterator,0.0,123.0,446.0,270.0,263.0
nqueens,430.0,145.0,2066.0,1957.0,832.0
generator,1518.0,1328.0,9546.0,9313.0,1086.0
tree_explore,246.0,296.0,293.0,287.0,171.0
triples,297.0,35.0,1829.0,2336.0,423.0
resume_nontail,164.0,114.0,1505.0,1437.0,265.0
parsing_dollars,346.0,117.0,3010.0,3170.0,1891.0
handler_sieve,569.0,3378.0,2179.0,2200.0,2834.0
resume_nontail_2,167.0,232.0,407880.0,407440.0,392.0
scheduler,272.0,1803649.0,,3023.0,466.0
interruptible_iterator,305.0,1130845.0,1033.0,,235630.0
