benchmark,lexa,effekt,koka_named,koka,ocaml
countdown,0.0,58.0,3728.0,2023.0,2450.0
fibonacci_recursive,717.0,1653.0,1346.0,1345.0,1404.0
product_early,146.0,277.0,1629.0,1634.0,150.0
iterator,0.0,120.0,432.0,271.0,267.0
nqueens,429.0,144.0,2072.0,1947.0,859.0
generator,1666.0,1395.0,9469.0,9337.0,1084.0
tree_explore,248.0,292.0,295.0,285.0,173.0
triples,312.0,35.0,1818.0,2337.0,423.0
resume_nontail,163.0,114.0,1504.0,1437.0,266.0
parsing_dollars,346.0,117.0,3047.0,3170.0,1746.0
handler_sieve,568.0,3446.0,2174.0,2204.0,2821.0
resume_nontail_2,167.0,222.0,408560.0,406840.0,391.0
scheduler,277.0,1856543.0,,3008.0,466.0
interruptible_iterator,317.0,1168922.0,1031.0,,237610.0
