benchmark,lexa,effekt,koka,koka_named,ocaml
countdown,3.0,61.0,2058.0,3705.0,2989.0
fibonacci_recursive,733.0,1657.0,1352.0,1404.0,1409.0
product_early,149.0,458.0,1694.0,1719.0,153.0
iterator,3.0,128.0,281.0,432.0,283.0
nqueens,427.0,148.0,1958.0,2092.0,858.0
tree_explore,233.0,328.0,292.0,299.0,180.0
triples,380.0,39.0,2835.0,2236.0,429.0
resume_nontail,171.0,121.0,1581.0,1518.0,276.0
parsing_dollars,341.0,120.0,3143.0,3045.0,1955.0
handler_sieve,653.0,3601.0,2271.0,2337.0,3100.0
resume_nontail_2,169.0,237.0,420610.0,419900.0,405.0
scheduler,273.0,1650086.0,3011.0,,467.0
interruptible_iterator,323.0,5889800.0,,1051.0,241880.0
